"Código Productor" "Nombre Productor" "Pólizas Auto" "% Ppto Auto" "Cartera Activa Auto" "Pólizas Fianza" "% Ppto Fianza" "Cartera Activa Fianza" "Pólizas Patrimoniales" "% Ppto Patrimoniales" "Cartera Activa Patrimoniales" "Pólizas Personas" "% Ppto Personas" "Cartera Activa Personas" "Pólizas Salud" "% Ppto Salud" "Cartera Activa Salud" "Pólizas General" "% Ppto General" "Cartera Activa General" "Fecha" "centro_atencion" "cuentas_esp"
"1" 460 "Dr. Davon Stark" 540 305.696289986372 47 120 55.5519423447549 1 11 36.109181214124 108 211 76.5906024258584 31 26 133.162770280614 46 56 38.9155487064272 20 2019-01-01 "Centro 1" "Cuenta 4"
"2" 238 "Dr. Ruffin Ryan III" 16 83.9056790806353 211 130 194.776752823964 74 43 118.209219025448 163 377 77.9305739328265 88 197 158.225635113195 3 199 54.8404391855001 185 2019-01-02 "Centro 5" "Cuenta 4"
"3" 215 "Thaddeus Brekke I" 438 242.374394042417 1 198 59.711757209152 54 14 118.478761613369 180 398 23.6266231629997 116 90 179.071853170171 35 107 124.630983825773 54 2019-01-03 "Centro 3" "Cuenta 1"
"4" 218 "Agustus Blanda" 173 508.939940063283 64 85 19.2909867037088 89 95 14.7387273609638 295 232 196.811915468425 35 131 66.5830123703927 81 148 0.540114985778928 128 2019-01-04 "Centro 1" "Cuenta 2"
"5" 124 "Emmons Bartoletti I" 352 224.989686487243 42 169 64.2760164104402 33 10 40.7491984311491 7 201 184.043014096096 41 9 155.418126564473 120 45 57.1373719722033 20 2019-01-05 "Centro 3" "Cuenta 5"
"6" 395 "Dr. Evelyn Zulauf" 543 415.172901051119 200 122 162.363525526598 93 96 145.958400098607 115 44 29.2980610858649 151 181 119.119013333693 47 79 157.566990843043 167 2019-01-06 "Centro 4" "Cuenta 2"
"7" 126 "Ms. Lanette Bogisich" 365 30.36337075755 202 197 128.967347275466 42 25 169.724028743804 92 394 100.276989256963 82 60 37.7574257552624 95 78 182.01310778968 130 2019-01-07 "Centro 5" "Cuenta 1"
"8" 46 "Miss Floretta Reilly PhD" 458 39.015951147303 82 165 180.425412906334 84 84 81.0873471666127 204 335 110.937257297337 36 169 59.1939279809594 36 42 19.8327658232301 77 2019-01-08 "Centro 1" "Cuenta 2"
"9" 310 "Dr. Hilbert Prosacco" 411 477.616543136537 39 168 85.7303903903812 88 58 44.4781613536179 128 298 145.630508707836 163 113 3.66840129718184 57 164 35.7141811400652 2 2019-01-09 "Centro 1" "Cuenta 1"
"10" 107 "Felisha Murazik" 226 215.386811736971 187 160 83.953743474558 73 55 177.1374928765 182 311 179.283309588209 83 96 157.347629126161 0 183 169.26457202062 49 2019-01-10 "Centro 3" "Cuenta 4"
"11" 134 "Eda Larson DVM" 110 443.156262533739 212 119 121.045451099053 54 21 1.35557064786553 281 317 78.3517078962177 148 19 119.647970516235 37 12 122.830652585253 110 2019-01-11 "Centro 2" "Cuenta 1"
"12" 402 "Dr. Jovan Stracke" 560 233.870423398912 176 13 151.593797653913 61 76 196.164355799556 175 29 67.1743172686547 181 136 1.75055507570505 137 103 8.2850085105747 121 2019-01-12 "Centro 1" "Cuenta 3"
"13" 91 "Johannah Spencer" 135 104.579509841278 125 0 90.8743350300938 16 34 161.377106839791 116 63 40.074393292889 68 73 104.057993693277 146 180 194.343572622165 162 2019-01-13 "Centro 1" "Cuenta 3"
"14" 373 "Dorsey Bergnaum" 169 463.839105237275 94 4 186.714733624831 30 61 1.82566801086068 8 208 71.4031387120485 168 91 87.1880119666457 109 92 176.793735474348 55 2019-01-14 "Centro 5" "Cuenta 1"
"15" 38 "Dr. Charle Ankunding II" 260 165.438702888787 89 81 149.642606498674 17 89 135.536631057039 121 63 109.19348327443 149 18 94.925875775516 134 36 185.643844958395 47 2019-01-15 "Centro 3" "Cuenta 4"
"16" 407 "Tyreek Hagenes" 177 352.682179491967 256 18 124.422688595951 11 4 111.917676962912 77 351 187.99911569804 73 108 80.9465360362083 100 23 161.505035031587 148 2019-01-16 "Centro 5" "Cuenta 5"
"17" 202 "Delilah Parisian" 153 475.465512927622 275 49 27.7990664355457 14 6 83.9464848861098 26 181 135.838460596278 196 86 27.2535248659551 4 67 184.741983795539 86 2019-01-17 "Centro 3" "Cuenta 1"
"18" 347 "Miss Cheryl Rau MD" 92 16.4725991897285 46 30 177.550898073241 64 24 44.1557158716023 268 195 111.714715091512 46 162 9.50433048419654 55 33 38.1881072651595 15 2019-01-18 "Centro 4" "Cuenta 2"
"19" 311 "Nena Spencer" 255 119.804500322789 25 25 69.3136683199555 33 58 62.6959257759154 102 124 49.1451642010361 161 15 99.7341096401215 150 38 63.3255042135715 5 2019-01-19 "Centro 2" "Cuenta 2"
"20" 396 "Montel Stiedemann" 338 205.295952642336 66 144 57.5463065877557 81 90 33.4561175201088 104 362 93.7587692867965 69 152 9.08568752929568 18 51 175.137899443507 188 2019-01-20 "Centro 4" "Cuenta 1"
"21" 260 "Lucas Paucek" 510 130.233810609207 287 110 78.9237268734723 95 12 108.289740979671 145 281 197.471794858575 116 51 147.955345641822 26 139 86.9121744297445 181 2019-01-21 "Centro 5" "Cuenta 5"
"22" 432 "Lenord Schumm-Wuckert" 420 175.830237055197 177 133 83.9769897516817 15 50 141.096546081826 262 357 36.6516371723264 44 79 73.5486196819693 2 87 142.386840749532 132 2019-01-22 "Centro 4" "Cuenta 1"
"23" 363 "Rance Auer" 46 58.3057827316225 129 124 103.395645134151 99 61 138.891086308286 234 334 167.98390597105 136 12 199.363975785673 161 3 56.4291313290596 57 2019-01-23 "Centro 2" "Cuenta 1"
"24" 402 "Chancy Ankunding" 211 144.578441418707 265 192 191.916121868417 21 87 190.331744356081 234 274 149.569874443114 129 72 70.8313482347876 191 74 73.3404226601124 175 2019-01-24 "Centro 3" "Cuenta 1"
"25" 329 "Celia Connelly" 411 515.986531320959 149 4 129.415540304035 81 37 120.921390363947 229 337 63.615989126265 178 155 96.8860324006528 81 189 0.596216227859259 63 2019-01-25 "Centro 5" "Cuenta 2"
"26" 482 "Kiyoshi Mohr" 244 549.481368251145 24 84 69.7699795477092 83 43 139.986621867865 229 287 116.490768222138 195 36 139.579413784668 150 138 48.4087506309152 119 2019-01-26 "Centro 5" "Cuenta 4"
"27" 89 "Benjamin Mitchell" 456 97.1768797840923 228 10 76.6050138976425 17 10 91.6337589267641 297 76 5.63045111484826 146 112 199.396067066118 120 110 14.3175126519054 107 2019-01-27 "Centro 1" "Cuenta 5"
"28" 430 "Wilkie Kautzer" 557 477.359912730753 184 58 21.0310727823526 35 50 25.4616253543645 197 214 156.779960822314 169 193 121.141324238852 23 192 45.8778679836541 112 2019-01-28 "Centro 4" "Cuenta 4"
"29" 98 "Mr. Orvel Mraz" 105 44.9641393963248 167 72 67.7943469025195 50 88 16.2361299619079 294 65 148.655971186236 4 11 165.84174358286 24 51 31.3736333977431 175 2019-01-29 "Centro 4" "Cuenta 5"
"30" 86 "Dr. Lydell Funk" 162 308.610346075147 285 155 121.867708303034 81 78 43.7043143901974 133 277 198.709132475778 166 112 169.167509675026 69 32 28.739163512364 137 2019-01-30 "Centro 1" "Cuenta 3"
"31" 94 "Miss Paloma Romaguera" 271 268.516804743558 264 36 175.033910479397 43 53 84.053482208401 149 252 63.1249504629523 91 87 81.4372058492154 88 129 20.9325542207807 3 2019-01-31 "Centro 2" "Cuenta 4"
"32" 105 "Mitchel Gottlieb I" 164 372.170237917453 90 63 98.7878193613142 34 99 160.690729133785 10 190 28.598505910486 119 5 98.6807848326862 103 14 109.716908354312 171 2019-02-01 "Centro 4" "Cuenta 5"
"33" 295 "Jessi Bechtelar-Dooley" 61 456.702876510099 88 167 5.16846235841513 21 63 117.179335933179 278 149 44.001484522596 162 85 187.13286886923 62 178 70.3555177897215 102 2019-02-02 "Centro 4" "Cuenta 4"
"34" 486 "Simpson Dare" 552 68.5333516448736 259 164 135.513288760558 86 84 12.3192945029587 33 297 181.528587825596 146 176 151.767686381936 65 144 165.661222999915 178 2019-02-03 "Centro 1" "Cuenta 5"
"35" 409 "Nikki Wyman" 307 437.890497548506 38 137 148.033600859344 30 45 1.04491668753326 289 58 166.388781927526 97 97 5.68696339614689 154 91 71.3670536410064 136 2019-02-04 "Centro 2" "Cuenta 2"
"36" 2 "Aidyn Veum" 88 94.2381733562797 68 199 49.464382044971 81 6 136.840500636026 298 47 182.473550597206 76 86 72.4300832021981 57 36 11.4444809500128 85 2019-02-05 "Centro 1" "Cuenta 4"
"37" 81 "Dr. Delta Cummings PhD" 406 342.059948248789 179 113 52.3458755109459 87 11 55.1696212030947 220 290 99.1569901350886 198 169 163.56838750653 7 24 6.27136291004717 5 2019-02-06 "Centro 2" "Cuenta 1"
"38" 257 "Birdella Schiller" 574 594.150577113032 297 82 15.1887709274888 44 38 16.0547132138163 162 275 8.04621707648039 155 51 95.6893296446651 56 153 113.748424267396 59 2019-02-07 "Centro 5" "Cuenta 3"
"39" 154 "Ainsley Kshlerin-Gleichner" 557 238.450229354203 7 17 93.8942097593099 1 44 194.585422286764 125 301 55.3268174175173 127 75 198.485038336366 81 148 98.1527693103999 185 2019-02-08 "Centro 1" "Cuenta 4"
"40" 345 "Jakayla Funk DVM" 471 118.657579505816 296 164 3.59546653926373 68 62 60.3556857910007 282 148 166.02840134874 62 110 27.3143622558564 45 10 12.1972690336406 77 2019-02-09 "Centro 4" "Cuenta 1"
"41" 476 "Dr. Ed Gusikowski Sr." 344 390.700042806566 78 123 67.8257492836565 35 40 197.143491962925 150 143 116.836025146767 20 187 88.681996660307 7 56 103.608665289357 43 2019-02-10 "Centro 3" "Cuenta 5"
"42" 473 "Love Koch" 561 304.18354254216 211 117 59.3005949165672 96 2 119.495202321559 111 103 116.155150672421 71 73 94.6414943784475 105 127 8.74375007115304 5 2019-02-11 "Centro 1" "Cuenta 4"
"43" 58 "Moshe Yost-Kozey" 355 244.412563741207 127 200 119.546377193183 77 56 59.3913270626217 289 282 129.301738319919 70 167 8.42447900213301 83 5 124.159845523536 4 2019-02-12 "Centro 5" "Cuenta 2"
"44" 253 "Camron Berge DDS" 92 329.959639906883 28 191 139.888989320025 59 64 37.9314505495131 235 107 69.5614110212773 23 94 45.3819192945957 24 179 94.4254503119737 185 2019-02-13 "Centro 3" "Cuenta 2"
"45" 482 "Eliezer Brown" 32 503.428449248895 37 15 99.5308318641037 68 97 115.398434083909 10 53 163.881626492366 105 101 122.663330147043 91 121 98.4677392523736 187 2019-02-14 "Centro 5" "Cuenta 4"
"46" 314 "Oda Mayer-Torphy" 110 184.042924828827 154 154 81.2005976215005 18 35 22.8807534556836 250 232 58.1117677036673 185 152 98.8949892111123 178 184 177.865008916706 131 2019-02-15 "Centro 5" "Cuenta 4"
"47" 175 "Corda Schaefer-Bergstrom" 12 484.748548502102 209 25 26.9626842811704 37 5 194.830877007917 74 26 65.7164416275918 100 173 150.536500010639 18 2 56.6313206683844 12 2019-02-16 "Centro 4" "Cuenta 3"
"48" 32 "Carrol Baumbach" 524 6.43975152634084 209 126 105.63452183269 95 53 41.2802453152835 43 373 23.0686545837671 72 108 134.838644741103 145 56 191.688046278432 65 2019-02-17 "Centro 5" "Cuenta 2"
"49" 359 "Bobby Kerluke" 283 61.3204041961581 274 159 65.7925058156252 91 99 141.14619186148 41 307 51.2332729063928 84 3 148.991975095123 187 194 109.807373676449 168 2019-02-18 "Centro 3" "Cuenta 1"
"50" 470 "Gust Hane" 344 262.40372643806 218 68 14.2857898492366 65 79 79.0503768716007 219 12 125.162910297513 5 77 108.681499771774 72 162 163.753634272143 7 2019-02-19 "Centro 1" "Cuenta 1"
"51" 74 "Mrs. Elvira Mohr DDS" 404 582.464940520003 91 2 88.5039899498224 43 18 39.4482255913317 228 195 139.950285898522 100 2 89.1297231428325 140 57 77.947964752093 35 2019-02-20 "Centro 2" "Cuenta 3"
"52" 474 "Mozell Mitchell" 540 68.6240565497428 286 29 80.98882609047 57 9 176.595624908805 51 236 80.6519537232816 195 174 130.172418663278 1 28 181.594302365556 40 2019-02-21 "Centro 2" "Cuenta 3"
"53" 400 "Tye White-Wolff" 321 539.807005785406 294 183 63.6487678159028 70 65 66.0332156345248 160 290 97.8998573496938 170 19 90.3885043226182 24 75 94.5782232563943 46 2019-02-22 "Centro 4" "Cuenta 5"
"54" 22 "Maritza Pagac" 15 272.201610915363 153 196 53.1495989300311 17 48 87.8665895666927 147 376 129.33719814755 77 39 133.853126456961 95 194 19.294376578182 155 2019-02-23 "Centro 5" "Cuenta 4"
"55" 479 "Miss Marnita Ratke" 2 542.815737705678 204 144 94.8431107681245 39 75 146.227336395532 24 161 46.1678090970963 125 15 66.0283898003399 31 102 76.0757198091596 154 2019-02-24 "Centro 4" "Cuenta 4"
"56" 37 "Casandra Dietrich" 564 489.843458030373 172 100 71.6785197611898 97 24 75.3851702902466 218 115 172.3405724857 41 17 119.324143836275 170 134 184.262034809217 187 2019-02-25 "Centro 2" "Cuenta 4"
"57" 141 "Ms. Rosaria Volkman" 381 464.632775215432 141 102 17.8908843081445 58 4 135.555282607675 136 213 161.627091746777 103 169 140.500500844792 136 44 111.3680427894 77 2019-02-26 "Centro 1" "Cuenta 3"
"58" 155 "Lilianna Predovic PhD" 318 533.122513862327 230 178 43.9568527974188 3 45 35.2463485207409 66 52 104.520023148507 31 5 144.52275079675 122 106 93.8951949123293 23 2019-02-27 "Centro 3" "Cuenta 3"
"59" 132 "Jana Jast" 110 116.985148563981 80 77 71.1791872512549 14 44 133.822795841843 179 71 106.350211100653 159 100 191.341571975499 132 48 156.723927473649 13 2019-02-28 "Centro 2" "Cuenta 4"
"60" 34 "Traci Okuneva-Purdy" 276 508.085808344185 130 141 136.530685471371 73 45 104.10275827162 6 383 46.4962141122669 141 199 79.4385182205588 90 1 53.0730360653251 21 2019-03-01 "Centro 2" "Cuenta 3"
"61" 185 "Donaciano Abshire" 48 229.290961939842 26 152 63.0111775361001 35 29 26.5769391786307 31 79 162.768049351871 85 76 108.415257930756 40 49 43.4144207276404 3 2019-03-02 "Centro 2" "Cuenta 4"
"62" 113 "Dr. Odalys Watsica" 581 428.411334240809 226 138 150.208881869912 51 74 158.249987196177 12 263 84.9821608513594 139 98 180.422863690183 191 61 69.35342582874 176 2019-03-03 "Centro 1" "Cuenta 3"
"63" 463 "Niles Kshlerin-Wunsch" 458 301.996651757509 223 36 173.909594258294 11 78 126.375151379034 94 310 131.683353427798 164 98 71.6987682506442 151 48 35.1037591695786 75 2019-03-04 "Centro 4" "Cuenta 1"
"64" 380 "Clark Boehm" 300 34.9826394114643 176 111 65.5960040632635 87 75 70.6702557392418 25 48 71.3584794662893 106 53 9.45315663702786 99 163 156.839628797024 100 2019-03-05 "Centro 2" "Cuenta 5"
"65" 42 "Elwanda Keebler" 580 153.710735728964 136 196 90.1907988358289 17 57 72.8683297988027 75 309 14.593227673322 112 75 30.249500926584 32 63 82.7929918654263 177 2019-03-06 "Centro 5" "Cuenta 5"
"66" 435 "Captain Kuphal" 252 567.99295800738 230 180 155.93990907073 64 9 37.6650671008974 180 359 23.1314951088279 121 103 128.030491713434 89 5 45.8426442928612 175 2019-03-07 "Centro 2" "Cuenta 4"
"67" 53 "Dr. Montel Volkman MD" 595 415.813165297732 185 118 13.4645372629166 67 56 19.7706540580839 101 219 78.6775215994567 5 41 15.5400463845581 192 91 165.726726176217 124 2019-03-08 "Centro 3" "Cuenta 5"
"68" 166 "Donny Hickle" 71 542.758241761476 182 57 29.8469907604158 57 39 9.3651567120105 142 72 127.730011101812 164 68 139.261715952307 171 42 108.44337134622 109 2019-03-09 "Centro 2" "Cuenta 2"
"69" 405 "Orland Paucek-Wisoky" 208 79.2306524701416 109 192 136.053805518895 7 8 107.138152280822 44 200 116.007506009191 38 149 149.262958578765 160 126 175.21611219272 74 2019-03-10 "Centro 3" "Cuenta 2"
"70" 253 "Markus Koch" 370 183.697138633579 174 18 199.499912373722 8 44 177.854470536113 57 57 54.0848476346582 25 188 61.5798842161894 120 151 23.4233357477933 66 2019-03-11 "Centro 4" "Cuenta 4"
"71" 25 "Evelyn Hyatt" 298 357.536110421643 17 151 13.7934182304889 85 80 26.1143357958645 233 358 118.479378009215 97 56 166.640386171639 177 145 16.0740467719734 93 2019-03-12 "Centro 3" "Cuenta 5"
"72" 462 "Derald Larkin" 514 278.499601408839 271 171 25.2907051239163 79 64 170.592958107591 244 198 170.117109594867 63 45 50.177003024146 130 181 110.149305220693 68 2019-03-13 "Centro 5" "Cuenta 1"
"73" 286 "Lainey Hoppe" 118 515.011913375929 139 63 108.466940466315 54 98 56.1047976370901 263 264 109.04823760502 124 164 93.8151959795505 14 170 77.3937704507262 75 2019-03-14 "Centro 4" "Cuenta 2"
"74" 63 "Ruthanne Bruen-Mills" 357 444.291995745152 101 80 91.0091229248792 46 41 77.6690857950598 3 400 60.3322606068105 110 43 41.2499064579606 177 61 116.819043690339 163 2019-03-15 "Centro 2" "Cuenta 3"
"75" 208 "Jarrett Reynolds-Stark" 50 349.689153581858 37 11 99.9126127455384 78 19 133.7004003115 51 110 24.6216844767332 56 167 137.544567557052 117 57 45.0503962114453 34 2019-03-16 "Centro 4" "Cuenta 4"
"76" 206 "Blair Kassulke" 120 95.8695687353611 233 140 150.227858312428 26 66 24.9573251232505 252 33 142.573440307751 187 38 62.7654636278749 120 103 3.69190610945225 152 2019-03-17 "Centro 4" "Cuenta 3"
"77" 65 "Elvira Renner" 8 188.925887458026 123 87 102.471769088879 15 71 39.5352326799184 256 126 121.974761877209 35 98 106.524077989161 107 4 133.562044473365 18 2019-03-18 "Centro 2" "Cuenta 5"
"78" 226 "Clovis Stiedemann" 125 94.5661285892129 240 197 139.162678085268 21 82 16.3409923668951 188 155 144.543503597379 116 122 131.734451372176 116 53 193.425802187994 87 2019-03-19 "Centro 2" "Cuenta 4"
"79" 294 "Mrs. Nira Fahey" 420 190.256395284086 291 176 179.835659824312 48 85 103.457793453708 96 154 133.388770464808 124 88 168.682504910976 53 15 5.93855134211481 122 2019-03-20 "Centro 1" "Cuenta 2"
"80" 62 "Kegan Ondricka" 310 17.6732820924371 212 10 41.7440726421773 22 44 140.380808291957 247 279 80.1917803008109 100 151 0.638580275699496 58 148 56.3501330558211 147 2019-03-21 "Centro 4" "Cuenta 3"
"81" 258 "Derwin Sanford-Kulas" 130 267.141889315099 172 82 106.425230996683 7 75 64.9012452922761 170 72 123.743386520073 110 53 20.523270778358 21 153 161.469230009243 150 2019-03-22 "Centro 5" "Cuenta 4"
"82" 395 "Lambert Bins" 58 95.3155376482755 235 78 8.38542147539556 24 47 77.7520757168531 3 361 127.692051278427 179 61 153.050979366526 58 177 71.4719726704061 57 2019-03-23 "Centro 4" "Cuenta 3"
"83" 107 "Dr. Frazier Daniel Sr." 263 49.8057458549738 39 1 64.1235590912402 50 93 42.8135748952627 72 237 157.791622262448 144 37 149.50018688105 102 151 8.19232789799571 162 2019-03-24 "Centro 1" "Cuenta 5"
"84" 108 "Lenwood Volkman-Murazik" 392 439.283974701539 233 132 136.890084994957 77 79 166.756278462708 251 18 129.002415854484 44 175 125.350049138069 160 53 136.48147424683 3 2019-03-25 "Centro 1" "Cuenta 1"
"85" 40 "Lurline Klein" 548 133.370568137616 133 80 146.242120675743 19 18 194.181362912059 271 102 28.8949855137616 138 6 174.399679712951 114 138 184.907430782914 8 2019-03-26 "Centro 2" "Cuenta 2"
"86" 108 "Dr. Guido Prohaska Sr." 374 17.1300957910717 243 180 47.9451069142669 2 72 9.13150426931679 0 70 143.848670320585 196 162 97.0794789958745 172 42 70.9937764331698 75 2019-03-27 "Centro 1" "Cuenta 2"
"87" 79 "Charle Champlin" 370 144.92737124674 300 33 36.8406352587044 52 26 71.5173920616508 292 133 112.217254843563 123 165 121.802045824006 95 192 29.5221298467368 12 2019-03-28 "Centro 3" "Cuenta 1"
"88" 117 "Wilber Becker" 425 102.142751170322 180 9 92.1767308376729 46 7 165.980450622737 194 164 8.34146356210113 20 109 27.8525993227959 139 126 185.842147655785 14 2019-03-29 "Centro 1" "Cuenta 4"
"89" 398 "Kalene Rice DVM" 143 376.863317890093 24 111 160.621328139678 13 63 82.2902639396489 209 107 76.275211526081 154 110 15.0366053916514 80 107 189.859736384824 125 2019-03-30 "Centro 5" "Cuenta 4"
"90" 389 "Linnea Fisher" 139 492.008758289739 292 78 92.0866745058447 83 93 163.341819774359 252 5 127.841681428254 96 194 128.437761124223 171 140 57.5831805355847 60 2019-03-31 "Centro 4" "Cuenta 3"
