"Sucursal" "Ramo" "Línea Negocio" "Nombre del Cliente" "Número Póliza" "Prima Cobrada" "Prima Devengada" "Siniestros Pagados" "Siniestros Pendientes" "Siniestros Incurridos" "Recuperaciones" "Comisiones e Incentivos Pagados" "Gastos Directos del Ramo" "Resultado Técnico Antes de Gasto" "Siniestralidad" "Fecha" "productor" "cuentas_esp"
"1" "Centro 1" "Personas" "Personas" "Jasen Wisozk" 113 587 197 454 56 151 414 208 380 244 37 2019-01-01 "Productor 3" "Cuenta 4"
"2" "Centro 1" "Patrimoniales" "Patrimoniales" "Haiden Mohr-Ankunding" 448 373 290 435 308 93 25 382 572 235 301 2019-01-02 "Productor 4" "Cuenta 3"
"3" "Centro 5" "Patrimoniales" "Patrimoniales" "Miss Gregoria Dicki DVM" 298 413 343 581 89 190 420 218 484 529 358 2019-01-03 "Productor 3" "Cuenta 2"
"4" "Centro 3" "Auto" "Auto" "Demarcus Donnelly" 489 143 564 285 178 346 425 330 68 556 480 2019-01-04 "Productor 3" "Cuenta 1"
"5" "Centro 5" "Fianzas" "Fianzas" "Lilly Williamson" 82 18 503 112 96 156 374 351 282 377 358 2019-01-05 "Productor 2" "Cuenta 5"
"6" "Centro 1" "Personas" "Personas" "Joetta Halvorson DVM" 131 456 150 121 98 99 25 517 585 458 95 2019-01-06 "Productor 4" "Cuenta 2"
"7" "Centro 3" "Auto" "Auto" "Gertrude Hodkiewicz" 186 163 88 509 545 333 373 126 367 353 534 2019-01-07 "Productor 3" "Cuenta 5"
"8" "Centro 2" "Personas" "Personas" "Holden Quigley" 352 230 398 239 95 457 392 592 534 156 391 2019-01-08 "Productor 4" "Cuenta 3"
"9" "Centro 5" "Fianzas" "Fianzas" "Lemuel Stokes" 359 578 146 103 295 595 45 356 186 507 437 2019-01-09 "Productor 4" "Cuenta 3"
"10" "Centro 3" "Personas" "Personas" "Tatiana Walter" 530 528 553 2 487 138 594 168 333 409 187 2019-01-10 "Productor 5" "Cuenta 4"
"11" "Centro 5" "Patrimoniales" "Patrimoniales" "Rebeca Heller" 392 231 573 394 27 568 417 409 547 314 155 2019-01-11 "Productor 5" "Cuenta 5"
"12" "Centro 5" "Salud" "Salud" "Annabella Gleason" 140 162 594 317 175 422 148 151 24 500 479 2019-01-12 "Productor 2" "Cuenta 1"
"13" "Centro 3" "Auto" "Auto" "Lionel Rowe" 563 35 376 474 386 367 8 309 92 551 225 2019-01-13 "Productor 4" "Cuenta 1"
"14" "Centro 1" "Salud" "Salud" "Prosper Jones-Becker" 216 254 24 365 12 583 353 197 154 169 49 2019-01-14 "Productor 2" "Cuenta 2"
"15" "Centro 3" "Personas" "Personas" "Taniya Brekke" 106 124 290 55 382 133 591 422 60 133 539 2019-01-15 "Productor 3" "Cuenta 5"
"16" "Centro 2" "Fianzas" "Fianzas" "Latrice Bergnaum" 464 228 283 311 153 51 540 41 465 368 241 2019-01-16 "Productor 2" "Cuenta 2"
"17" "Centro 3" "Auto" "Auto" "Rylee Zulauf-Smith" 568 424 533 223 396 331 495 571 239 513 470 2019-01-17 "Productor 3" "Cuenta 5"
"18" "Centro 2" "Salud" "Salud" "Meghan Runolfsdottir" 48 301 279 75 277 586 34 28 393 386 300 2019-01-18 "Productor 1" "Cuenta 2"
"19" "Centro 3" "Fianzas" "Fianzas" "Dr. Caleb Bauch I" 381 25 516 372 198 194 444 338 526 327 45 2019-01-19 "Productor 1" "Cuenta 1"
"20" "Centro 2" "Fianzas" "Fianzas" "Miesha Howell" 15 268 279 20 333 539 131 444 550 394 292 2019-01-20 "Productor 3" "Cuenta 2"
"21" "Centro 5" "Auto" "Auto" "Karly Dickens" 490 142 594 229 25 50 387 340 330 410 496 2019-01-21 "Productor 1" "Cuenta 5"
"22" "Centro 4" "Patrimoniales" "Patrimoniales" "Colter McLaughlin" 549 142 25 320 291 469 50 251 371 353 415 2019-01-22 "Productor 4" "Cuenta 4"
"23" "Centro 5" "Salud" "Salud" "Florrie Cummerata" 173 270 308 230 420 263 78 192 81 155 187 2019-01-23 "Productor 1" "Cuenta 1"
"24" "Centro 1" "Patrimoniales" "Patrimoniales" "Tallie Rath" 156 294 352 474 210 62 99 318 354 490 59 2019-01-24 "Productor 3" "Cuenta 1"
"25" "Centro 5" "Auto" "Auto" "Garold Langworth-Rohan" 551 170 484 535 470 360 78 284 169 330 179 2019-01-25 "Productor 2" "Cuenta 3"
"26" "Centro 2" "Patrimoniales" "Patrimoniales" "Shyheim Hickle" 33 259 471 497 130 37 275 171 26 234 417 2019-01-26 "Productor 2" "Cuenta 2"
"27" "Centro 4" "Patrimoniales" "Patrimoniales" "Ayleen Langworth" 212 171 291 356 562 290 241 3 321 22 218 2019-01-27 "Productor 5" "Cuenta 5"
"28" "Centro 4" "Auto" "Auto" "Armin Walter" 509 458 307 382 148 164 596 14 341 561 245 2019-01-28 "Productor 5" "Cuenta 2"
"29" "Centro 3" "Auto" "Auto" "Aura Schmidt" 274 129 217 62 480 558 195 512 337 45 154 2019-01-29 "Productor 2" "Cuenta 2"
"30" "Centro 2" "Auto" "Auto" "Tabitha Beier" 114 123 445 86 537 410 249 48 1 115 560 2019-01-30 "Productor 4" "Cuenta 4"
"31" "Centro 1" "Personas" "Personas" "Loren Kuphal" 416 192 409 531 458 55 352 330 463 417 324 2019-01-31 "Productor 3" "Cuenta 3"
"32" "Centro 2" "Personas" "Personas" "Renita Koepp DDS" 597 487 544 484 45 6 131 350 23 584 42 2019-02-01 "Productor 4" "Cuenta 4"
"33" "Centro 4" "Salud" "Salud" "Clemma Beatty" 43 305 207 223 91 289 136 395 518 215 290 2019-02-02 "Productor 1" "Cuenta 3"
"34" "Centro 1" "Personas" "Personas" "Aliza Reichel" 166 314 51 339 391 562 454 123 546 584 335 2019-02-03 "Productor 2" "Cuenta 3"
"35" "Centro 1" "Fianzas" "Fianzas" "Evander Williamson" 149 139 68 218 194 74 473 96 469 579 331 2019-02-04 "Productor 2" "Cuenta 1"
"36" "Centro 2" "Personas" "Personas" "Mr. Raleigh Bailey DDS" 316 594 4 419 404 226 36 400 181 372 315 2019-02-05 "Productor 5" "Cuenta 5"
"37" "Centro 4" "Salud" "Salud" "Monika Witting" 475 27 405 76 375 219 384 390 593 280 508 2019-02-06 "Productor 3" "Cuenta 2"
"38" "Centro 5" "Salud" "Salud" "Marguerite Jones MD" 331 367 590 12 67 336 170 598 565 119 394 2019-02-07 "Productor 2" "Cuenta 5"
"39" "Centro 4" "Salud" "Salud" "Dr. Willene Oberbrunner PhD" 69 98 251 121 511 447 360 549 528 228 34 2019-02-08 "Productor 1" "Cuenta 2"
"40" "Centro 2" "Salud" "Salud" "Aden Johns" 80 562 338 299 381 25 285 549 432 500 167 2019-02-09 "Productor 4" "Cuenta 2"
"41" "Centro 3" "Patrimoniales" "Patrimoniales" "Miss Devan Kuphal MD" 414 110 17 199 345 554 9 369 193 97 62 2019-02-10 "Productor 3" "Cuenta 3"
"42" "Centro 2" "Patrimoniales" "Patrimoniales" "Dr. Zona Marvin" 334 385 218 386 426 310 29 134 503 267 202 2019-02-11 "Productor 2" "Cuenta 5"
"43" "Centro 1" "Auto" "Auto" "Jovany Cruickshank-O'Keefe" 561 334 293 128 560 488 58 462 345 58 281 2019-02-12 "Productor 1" "Cuenta 3"
"44" "Centro 3" "Auto" "Auto" "Doshie Goodwin" 483 194 285 539 307 55 457 285 431 310 4 2019-02-13 "Productor 1" "Cuenta 2"
"45" "Centro 1" "Auto" "Auto" "Dr. Hollis Lockman DVM" 330 248 409 551 126 97 78 506 271 524 356 2019-02-14 "Productor 1" "Cuenta 3"
"46" "Centro 4" "Salud" "Salud" "Dr. Braedon Kuhn" 514 573 456 484 552 495 63 592 293 454 100 2019-02-15 "Productor 1" "Cuenta 1"
"47" "Centro 1" "Auto" "Auto" "Jalisa Klocko MD" 309 385 483 232 470 548 562 99 263 175 472 2019-02-16 "Productor 4" "Cuenta 2"
"48" "Centro 1" "Patrimoniales" "Patrimoniales" "Jazmyne Hilll" 559 54 70 86 73 37 366 451 358 371 320 2019-02-17 "Productor 5" "Cuenta 5"
"49" "Centro 5" "Patrimoniales" "Patrimoniales" "Mitzi Bayer DVM" 310 248 119 26 366 546 302 549 35 434 90 2019-02-18 "Productor 1" "Cuenta 5"
