"Sucursal" "Ramo" "Línea Negocio" "Nombre del Cliente" "Número Póliza" "Prima Cobrada" "Prima Devengada" "Comisión" "Fecha Inicio Vigencia" "Fecha Fin Vigencia" "Fecha" "productor" "cuentas_esp"
"1" "Centro 1" "Fianzas" "Fianzas" "Kipp Hane" 99 519 466 66 2019-01-11 2019-01-21 2019-01-01 "Productor 2" "Cuenta 4"
"2" "Centro 3" "Fianzas" "Fianzas" "Chandler Cruickshank" 577 563 240 327 2019-01-12 2019-01-22 2019-01-02 "Productor 1" "Cuenta 5"
"3" "Centro 1" "Fianzas" "Fianzas" "Jadiel Strosin" 26 91 188 548 2019-01-13 2019-01-23 2019-01-03 "Productor 1" "Cuenta 3"
"4" "Centro 3" "Salud" "Salud" "Mirtie Armstrong" 325 112 519 201 2019-01-14 2019-01-24 2019-01-04 "Productor 1" "Cuenta 4"
"5" "Centro 4" "Personas" "Personas" "Mrs. Shasta Jacobs MD" 424 581 557 314 2019-01-15 2019-01-25 2019-01-05 "Productor 1" "Cuenta 2"
"6" "Centro 3" "Patrimoniales" "Patrimoniales" "Dr. Dirk Hyatt DVM" 288 574 99 401 2019-01-16 2019-01-26 2019-01-06 "Productor 2" "Cuenta 2"
"7" "Centro 1" "Fianzas" "Fianzas" "Carissa Larkin" 455 234 309 512 2019-01-17 2019-01-27 2019-01-07 "Productor 4" "Cuenta 1"
"8" "Centro 3" "Patrimoniales" "Patrimoniales" "Ebb Bauch" 382 88 366 18 2019-01-18 2019-01-28 2019-01-08 "Productor 4" "Cuenta 4"
"9" "Centro 3" "Fianzas" "Fianzas" "Dr. Hertha Pagac DDS" 468 268 32 526 2019-01-19 2019-01-29 2019-01-09 "Productor 5" "Cuenta 5"
"10" "Centro 5" "Auto" "Auto" "Ernestine Dooley-Casper" 491 396 524 78 2019-01-20 2019-01-30 2019-01-10 "Productor 3" "Cuenta 4"
"11" "Centro 4" "Patrimoniales" "Patrimoniales" "Maybelle Cormier DVM" 383 525 443 317 2019-01-21 2019-01-31 2019-01-11 "Productor 4" "Cuenta 4"
"12" "Centro 5" "Fianzas" "Fianzas" "Theodis Hermiston V" 443 408 1 153 2019-01-22 2019-02-01 2019-01-12 "Productor 5" "Cuenta 1"
"13" "Centro 5" "Salud" "Salud" "Winnifred Denesik" 592 585 198 283 2019-01-23 2019-02-02 2019-01-13 "Productor 5" "Cuenta 5"
"14" "Centro 1" "Personas" "Personas" "Ms. Helen Mayert" 331 531 357 520 2019-01-24 2019-02-03 2019-01-14 "Productor 5" "Cuenta 1"
"15" "Centro 1" "Patrimoniales" "Patrimoniales" "Ola Predovic-Kessler" 545 482 301 225 2019-01-25 2019-02-04 2019-01-15 "Productor 1" "Cuenta 2"
"16" "Centro 5" "Patrimoniales" "Patrimoniales" "Dr. Cason Schneider" 45 168 464 5 2019-01-26 2019-02-05 2019-01-16 "Productor 5" "Cuenta 4"
"17" "Centro 4" "Salud" "Salud" "Mrs. Payton Harris PhD" 598 185 110 29 2019-01-27 2019-02-06 2019-01-17 "Productor 3" "Cuenta 4"
"18" "Centro 1" "Fianzas" "Fianzas" "Curtis Morar" 467 571 386 576 2019-01-28 2019-02-07 2019-01-18 "Productor 4" "Cuenta 5"
"19" "Centro 2" "Patrimoniales" "Patrimoniales" "Mrs. Roni Farrell DDS" 297 578 548 551 2019-01-29 2019-02-08 2019-01-19 "Productor 4" "Cuenta 5"
"20" "Centro 4" "Patrimoniales" "Patrimoniales" "Veronica Nitzsche" 366 592 260 525 2019-01-30 2019-02-09 2019-01-20 "Productor 1" "Cuenta 2"
"21" "Centro 1" "Fianzas" "Fianzas" "Schuyler Runolfsson" 247 191 259 440 2019-01-31 2019-02-10 2019-01-21 "Productor 5" "Cuenta 5"
"22" "Centro 4" "Patrimoniales" "Patrimoniales" "Oneal Rogahn" 48 514 74 319 2019-02-01 2019-02-11 2019-01-22 "Productor 2" "Cuenta 4"
"23" "Centro 3" "Personas" "Personas" "Gustie Moore" 540 11 466 98 2019-02-02 2019-02-12 2019-01-23 "Productor 4" "Cuenta 3"
"24" "Centro 5" "Salud" "Salud" "Brea Nikolaus" 167 386 221 450 2019-02-03 2019-02-13 2019-01-24 "Productor 2" "Cuenta 1"
"25" "Centro 2" "Salud" "Salud" "Dr. Bush Purdy" 411 191 235 91 2019-02-04 2019-02-14 2019-01-25 "Productor 3" "Cuenta 3"
