"Sucursal" "Ramo" "Línea Negocio" "Nombre del Cliente" "Centro de Atención Receptor" "Número Póliza" "Número Siniestro" "Siniestros Pagados" "Siniestros Pendientes" "Siniestros Incurridos" "Fecha" "productor" "cuentas_esp"
"1" "Centro 5" "Fianzas" "Fianzas" "Ronda Gerlach" "Centro 5" 351 209 481 159 331 2019-01-01 "Productor 2" "Cuenta 3"
"2" "Centro 4" "Salud" "Salud" "Reuben Sauer" "Centro 4" 379 542 199 435 528 2019-01-02 "Productor 2" "Cuenta 2"
"3" "Centro 1" "Patrimoniales" "Patrimoniales" "Kennth Thiel-Will" "Centro 1" 230 495 161 243 366 2019-01-03 "Productor 3" "Cuenta 2"
"4" "Centro 5" "Patrimoniales" "Patrimoniales" "Nicki Zemlak" "Centro 5" 15 551 51 201 287 2019-01-04 "Productor 1" "Cuenta 3"
"5" "Centro 2" "Patrimoniales" "Patrimoniales" "Melodie Thompson DVM" "Centro 2" 36 445 488 522 555 2019-01-05 "Productor 3" "Cuenta 2"
"6" "Centro 1" "Personas" "Personas" "Mrs. Blanch Block MD" "Centro 1" 97 12 0 469 441 2019-01-06 "Productor 1" "Cuenta 2"
"7" "Centro 4" "Patrimoniales" "Patrimoniales" "Gail Auer" "Centro 4" 177 437 294 95 41 2019-01-07 "Productor 3" "Cuenta 5"
"8" "Centro 2" "Personas" "Personas" "Wilton Stoltenberg" "Centro 2" 93 80 354 68 390 2019-01-08 "Productor 2" "Cuenta 3"
"9" "Centro 4" "Personas" "Personas" "Shaun Cartwright" "Centro 4" 355 467 407 359 201 2019-01-09 "Productor 2" "Cuenta 5"
"10" "Centro 5" "Fianzas" "Fianzas" "Dedrick Vandervort" "Centro 5" 325 57 349 23 521 2019-01-10 "Productor 3" "Cuenta 5"
"11" "Centro 3" "Personas" "Personas" "Dr. Krystle Bruen DVM" "Centro 3" 431 231 198 156 457 2019-01-11 "Productor 2" "Cuenta 1"
"12" "Centro 2" "Patrimoniales" "Patrimoniales" "Murry Lebsack V" "Centro 2" 234 181 478 110 8 2019-01-12 "Productor 1" "Cuenta 5"
"13" "Centro 2" "Fianzas" "Fianzas" "Broderick Rath" "Centro 2" 227 199 34 31 89 2019-01-13 "Productor 1" "Cuenta 3"
"14" "Centro 4" "Fianzas" "Fianzas" "Kamari Balistreri" "Centro 4" 271 152 437 174 491 2019-01-14 "Productor 3" "Cuenta 3"
"15" "Centro 1" "Fianzas" "Fianzas" "Shamika Bashirian" "Centro 1" 293 29 110 336 479 2019-01-15 "Productor 2" "Cuenta 1"
"16" "Centro 2" "Fianzas" "Fianzas" "Deidre Leffler-Jacobs" "Centro 2" 540 251 233 412 275 2019-01-16 "Productor 4" "Cuenta 2"
"17" "Centro 3" "Fianzas" "Fianzas" "Mrs. Laila Kuvalis MD" "Centro 3" 275 373 298 581 159 2019-01-17 "Productor 2" "Cuenta 4"
"18" "Centro 3" "Patrimoniales" "Patrimoniales" "Brandie Rippin DDS" "Centro 3" 593 430 261 507 328 2019-01-18 "Productor 2" "Cuenta 5"
"19" "Centro 3" "Salud" "Salud" "Sybil Hand-Willms" "Centro 3" 75 410 209 79 6 2019-01-19 "Productor 2" "Cuenta 1"
"20" "Centro 3" "Patrimoniales" "Patrimoniales" "Ocie Wisozk-Ratke" "Centro 3" 116 18 560 282 225 2019-01-20 "Productor 2" "Cuenta 5"
"21" "Centro 4" "Fianzas" "Fianzas" "Tempie Moen" "Centro 4" 414 598 442 91 106 2019-01-21 "Productor 1" "Cuenta 4"
"22" "Centro 5" "Salud" "Salud" "Esmeralda Green" "Centro 5" 123 139 575 324 427 2019-01-22 "Productor 3" "Cuenta 3"
"23" "Centro 1" "Salud" "Salud" "Mickie Connelly-Reichert" "Centro 1" 189 398 304 557 125 2019-01-23 "Productor 4" "Cuenta 5"
"24" "Centro 3" "Patrimoniales" "Patrimoniales" "Corwin Reichel" "Centro 3" 287 102 10 484 570 2019-01-24 "Productor 1" "Cuenta 1"
"25" "Centro 5" "Fianzas" "Fianzas" "Mr. Claiborne Orn" "Centro 5" 112 338 489 134 207 2019-01-25 "Productor 3" "Cuenta 3"
"26" "Centro 2" "Personas" "Personas" "Tyrel Pfeffer" "Centro 2" 599 523 59 469 597 2019-01-26 "Productor 5" "Cuenta 3"
"27" "Centro 1" "Fianzas" "Fianzas" "Verne Murray" "Centro 1" 460 163 294 438 147 2019-01-27 "Productor 3" "Cuenta 2"
"28" "Centro 2" "Salud" "Salud" "Jeffrey Hirthe II" "Centro 2" 478 97 431 29 568 2019-01-28 "Productor 1" "Cuenta 2"
"29" "Centro 1" "Personas" "Personas" "Dr. Johnpaul Dickens" "Centro 1" 248 471 271 185 524 2019-01-29 "Productor 2" "Cuenta 3"
"30" "Centro 5" "Fianzas" "Fianzas" "Kelsey Skiles" "Centro 5" 468 306 356 508 202 2019-01-30 "Productor 3" "Cuenta 2"
"31" "Centro 5" "Patrimoniales" "Patrimoniales" "Darian Farrell" "Centro 5" 101 315 63 119 368 2019-01-31 "Productor 5" "Cuenta 1"
"32" "Centro 2" "Salud" "Salud" "Mr. Acey Weber" "Centro 2" 462 268 484 577 592 2019-02-01 "Productor 4" "Cuenta 4"
"33" "Centro 3" "Salud" "Salud" "Margarito Senger" "Centro 3" 39 496 131 331 66 2019-02-02 "Productor 5" "Cuenta 5"
"34" "Centro 5" "Salud" "Salud" "Adyson Hackett" "Centro 5" 449 478 513 550 102 2019-02-03 "Productor 2" "Cuenta 4"
"35" "Centro 3" "Personas" "Personas" "Miss Meda Littel" "Centro 3" 178 400 241 57 401 2019-02-04 "Productor 5" "Cuenta 3"
"36" "Centro 5" "Patrimoniales" "Patrimoniales" "Daisye Ebert" "Centro 5" 78 584 381 581 169 2019-02-05 "Productor 5" "Cuenta 2"
