"Código Productor" "Nombre Productor" "Pólizas Auto" "% Ppto Auto" "Cartera Activa Auto" "Pólizas Fianza" "% Ppto Fianza" "Cartera Activa Fianza" "Pólizas Patrimoniales" "% Ppto Patrimoniales" "Cartera Activa Patrimoniales" "Pólizas Personas" "% Ppto Personas" "Cartera Activa Personas" "Pólizas Salud" "% Ppto Salud" "Cartera Activa Salud" "Pólizas General" "% Ppto General" "Cartera Activa General" "Fecha" "cuentas_esp" "centro_atencion"
"1" 166 "Leslie Runolfsdottir-Hoppe" 39 583 176.924550882541 174.500281363726 177 59.0937953675166 28.5690985852852 26 172.584881773219 127.569737564772 55 179.662189958617 58.9378166012466 36 42.6611148286611 67.8373635746539 80 121.01618074812 2019-01-01 "Cuenta 5" "Centro 5"
"2" 76 "Nan Langworth" 327 222 121.205701399595 30.4014815483242 192 66.3747093174607 72.3850260023028 64 113.856285740621 196.552370209247 196 80.9510375373065 193.389048753306 2 20.9994047880173 118.484685849398 91 190.844160877168 2019-01-02 "Cuenta 3" "Centro 5"
"3" 160 "Dr. Collin Waters" 394 290 89.4082413520664 0.0935092568397522 69 11.922132410109 38.4456279221922 192 74.2299138335511 315.323798451573 18 186.807657778263 131.844389578328 141 37.2298919595778 175.886117015034 145 182.487800298259 2019-01-03 "Cuenta 5" "Centro 5"
"4" 14 "Adela Moore" 149 90 299.652803409845 16.0271570086479 200 66.1528254160658 81.2748279422522 39 65.0791065534577 191.28405507654 69 117.672177031636 89.4332504365593 149 184.656701283529 83.3375777117908 9 36.0841957386583 2019-01-04 "Cuenta 1" "Centro 4"
"5" 103 "Mr. Edgar Stark" 75 251 293.164470442571 163.370720949024 13 20.1314124045894 19.1621496342123 101 212.165610026568 171.556655969471 138 191.369175817817 97.7517054881901 33 88.8409204781055 131.901424517855 184 150.779203698039 2019-01-05 "Cuenta 4" "Centro 4"
"6" 73 "Mr. Davonte Cartwright Jr." 299 233 68.0460282135755 165.074525494128 43 46.7166956746951 33.699048589915 12 157.001921650954 43.0379906669259 42 140.016697579995 53.4144734032452 151 40.3472688049078 133.262896444649 129 116.921554738656 2019-01-06 "Cuenta 4" "Centro 5"
"7" 8 "Tillie Zboncak PhD" 34 51 50.8806198136881 198.04600533098 84 8.12864273320884 65.608320129104 174 149.311331659555 231.862315349281 15 185.341536812484 38.2201691623777 8 76.3085361104459 66.6310911532491 101 69.8758693877608 2019-01-07 "Cuenta 5" "Centro 3"
"8" 108 "Meagan McDermott" 1 583 52.8524946654215 95.6084657926112 194 47.7321428246796 99.4142000563443 73 29.9389666412026 362.434645090252 98 32.8302815556526 86.894182767719 104 193.374098464847 23.6212208867073 169 48.0764005333185 2019-01-08 "Cuenta 4" "Centro 1"
"9" 86 "Gaye Schmeler MD" 1 305 49.8062288621441 115.369791537523 181 61.4337933948264 18.2220471091568 183 53.1124853761867 119.5247374475 144 147.523505333811 105.737956892699 149 45.1553562190384 127.400064840913 153 106.330007640645 2019-01-09 "Cuenta 4" "Centro 2"
"10" 87 "Doll Tillman" 403 514 275.509758316912 1.93913946859539 193 84.9144923267886 73.4016653615981 60 56.2719942536205 343.047677446157 29 48.9187248982489 137.871592957526 26 29.1060566902161 86.4115660078824 84 138.29334997572 2019-01-10 "Cuenta 2" "Centro 2"
"11" 68 "Mrs. Cassondra Grimes DDS" 431 83 120.537199638784 37.2701383661479 153 53.2320202095434 43.648234452121 103 186.052400968038 266.042287647724 8 56.5064087510109 189.156491635367 87 69.1466126125306 186.802195524797 173 39.2648205161095 2019-01-11 "Cuenta 4" "Centro 1"
"12" 49 "Maye Gleichner DDS" 251 150 185.825183987617 164.735610829666 147 25.3829813096672 80.7575848186389 41 101.954448432662 68.1764259003103 159 141.626864578575 52.1549344528466 116 23.9762833807617 43.5648623388261 61 54.4104347936809 2019-01-12 "Cuenta 3" "Centro 2"
"13" 103 "Dr. Gilberto Halvorson IV" 374 71 76.13517253194 109.562900848687 45 91.4042330812663 86.6837179521099 94 146.120885177515 356.051514297724 189 167.164605110884 189.582999283448 158 154.296423634514 9.1912679374218 61 137.153943255544 2019-01-13 "Cuenta 1" "Centro 5"
"14" 125 "Soledad Collier" 378 251 115.055613219738 167.381032649428 129 60.6342868646607 34.7406001295894 183 87.7211592625827 163.484271708876 51 10.121974395588 92.8443426731974 102 119.596145721152 142.857608757913 133 10.196808539331 2019-01-14 "Cuenta 2" "Centro 1"
"15" 72 "Jovani Rath" 179 414 236.955118412152 49.3491216097027 4 3.68134193122387 7.90455539245158 129 90.7330388668925 177.548865228891 67 82.4702264275402 66.8560747057199 77 199.285067198798 173.220450477675 134 98.0918106157333 2019-01-15 "Cuenta 1" "Centro 1"
"16" 130 "Evalena Tromp" 402 177 9.95787328574806 170.761663699523 126 78.8929256843403 44.1082193516195 146 282.397125405259 365.75387250632 109 56.8373578600585 1.51101220399141 67 134.820666257292 50.3376514650881 27 176.96271808818 2019-01-16 "Cuenta 1" "Centro 2"
"17" 161 "Leslie Nitzsche" 116 448 255.114798224531 76.7380187287927 10 2.25778529420495 3.22284018620849 174 61.6938949562609 104.936371743679 111 154.995669610798 130.29050999321 57 182.83599903807 5.84915117360651 92 2.57388693280518 2019-01-17 "Cuenta 5" "Centro 2"
"18" 152 "Brigitte Nitzsche" 60 339 58.0998434918001 122.812860831618 42 24.8264325084165 6.44524823874235 69 6.8120799260214 9.64710526168346 146 127.519334852695 137.051069037989 167 157.783896382898 124.239555234089 151 58.3473531529307 2019-01-18 "Cuenta 3" "Centro 5"
"19" 1 "Taya Ankunding" 498 470 132.281216117553 146.818758640438 193 44.8338537709787 64.8739198455587 155 202.642247197218 232.617272343487 89 120.551017206162 13.94949038513 176 193.268958525732 109.683913504705 5 53.4926877822727 2019-01-19 "Cuenta 3" "Centro 2"
"20" 176 "Nico Vandervort" 78 20 294.414855446666 65.7031243667006 85 91.7940007988364 18.2040851097554 73 13.6606904910877 291.478859540075 181 164.209762820974 31.3736056908965 21 129.162692511454 170.23490020074 183 163.520482601598 2019-01-20 "Cuenta 3" "Centro 5"
"21" 102 "Hadley Hettinger Jr." 192 301 205.829807999544 45.2716863248497 177 39.5314891124144 77.527181734331 28 264.779336121865 258.417093195021 118 36.4447172731161 174.5593090076 24 168.894608691335 175.542788673192 9 14.7958651185036 2019-01-21 "Cuenta 5" "Centro 3"
"22" 162 "Brigid Senger-Okuneva" 374 67 63.9672880992293 132.956232083961 143 43.2097873417661 28.9919367060065 144 75.7338347146288 323.849387001246 32 33.8516213931143 60.8330723363906 158 194.130619801581 162.213264219463 32 3.30339814536273 2019-01-22 "Cuenta 2" "Centro 2"
"23" 19 "Ferrell Weimann" 299 127 157.657352741808 184.168605972081 5 3.46808771137148 63.8895104639232 129 191.423860075884 10.7593147084117 170 36.418276373297 74.7554452158511 164 133.327546110377 135.947750974447 30 152.676282590255 2019-01-23 "Cuenta 1" "Centro 3"
