"Código Productor" "Nombre Productor" "Pólizas Auto" "% Ppto Auto" "Cartera Activa Auto" "Pólizas Fianza" "% Ppto Fianza" "Cartera Activa Fianza" "Pólizas Patrimoniales" "% Ppto Patrimoniales" "Cartera Activa Patrimoniales" "Pólizas Personas" "% Ppto Personas" "Cartera Activa Personas" "Pólizas Salud" "% Ppto Salud" "Cartera Activa Salud" "Pólizas General" "% Ppto General" "Cartera Activa General" "Fecha" "cuentas_esp" "productores" "centro_atencion"
"1" 9 "Miss Loriann Maggio" 165 129 237 83 151.629853760824 7 76 37.7569481031969 14 12 90.4704748652875 95 9 78.3759121084586 76 21 37.3456733301282 17 2019-01-01 "Cuenta 1" "Productor 3" "Centro 2"
"2" 452 "Elana Larson" 0 319 168 157 148.475149739534 31 48 20.1410106150433 100 76 26.6366692027077 55 91 28.8738567614928 48 74 93.12960349489 67 2019-01-02 "Cuenta 3" "Productor 5" "Centro 2"
"3" 71 "Felicity McKenzie" 400 389 135 28 186.026776116341 53 16 68.6613261001185 82 75 19.0592298284173 48 75 93.8317012507468 81 65 19.2600533599034 46 2019-01-03 "Cuenta 3" "Productor 2" "Centro 5"
"4" 185 "Dr. Fronnie Ziemann" 59 48 161 137 50.6961744744331 48 96 55.2586343837902 74 82 12.792488001287 40 56 49.9877731548622 28 32 33.6064951261505 17 2019-01-04 "Cuenta 1" "Productor 1" "Centro 3"
"5" 435 "Dessa Jacobson" 314 581 209 107 79.9759350251406 85 14 21.6015551006421 96 39 40.851989435032 97 20 4.03266772627831 57 97 17.4709861632437 4 2019-01-05 "Cuenta 4" "Productor 1" "Centro 3"
"6" 214 "Luvinia Hilll" 238 156 271 138 98.4396091196686 36 9 78.5160405794159 2 74 94.6832480607554 39 91 54.527825419791 54 66 66.8179859640077 13 2019-01-06 "Cuenta 1" "Productor 1" "Centro 5"
"7" 183 "Dakota Kuhn" 177 358 233 199 69.0254775807261 34 52 80.2262026118115 33 68 63.7776540592313 81 76 60.1528452942148 40 10 88.6359355179593 77 2019-01-07 "Cuenta 5" "Productor 1" "Centro 5"
"8" 155 "Nita Lubowitz" 469 407 214 32 1.81690631434321 63 37 88.6767230927944 52 52 91.5059278020635 6 88 55.488090054132 52 92 4.87768684979528 81 2019-01-08 "Cuenta 1" "Productor 2" "Centro 3"
"9" 574 "Gisele Murazik MD" 481 198 268 96 109.922024654225 9 45 77.5913815246895 17 23 92.3172376584262 8 29 43.0367263732478 93 32 65.7554498175159 75 2019-01-09 "Cuenta 2" "Productor 2" "Centro 5"
"10" 593 "Durwood Willms-Bednar" 196 143 250 147 36.6903716698289 11 46 3.44075388275087 76 60 25.1690697623417 12 11 63.3423820370808 86 90 78.0003141611814 48 2019-01-10 "Cuenta 1" "Productor 4" "Centro 1"
"11" 476 "Dr. Shellie Kassulke" 61 567 30 152 169.645863585174 58 71 96.175484964624 21 60 2.25167647004128 61 18 51.3515484519303 48 96 83.8883436750621 70 2019-01-11 "Cuenta 3" "Productor 1" "Centro 1"
"12" 422 "Dr. Edd Schultz MD" 190 570 237 104 197.913904627785 16 55 1.36003198567778 9 93 23.661830695346 64 54 2.66556064598262 60 23 22.2209424013272 15 2019-01-12 "Cuenta 5" "Productor 5" "Centro 4"
"13" 242 "Mittie Yost" 585 134 189 150 91.8861398007721 59 49 59.6963761840016 21 32 99.5190739165992 16 80 11.9596480857581 37 56 59.3084792606533 2 2019-01-13 "Cuenta 5" "Productor 5" "Centro 4"
"14" 128 "Elissa Murray" 373 10 176 112 79.0257449261844 63 27 12.1133459499106 19 58 59.6270326990634 84 27 54.045873740688 20 7 93.8525820383802 9 2019-01-14 "Cuenta 5" "Productor 1" "Centro 2"
"15" 28 "Floy Balistreri" 531 400 191 33 193.884856207296 33 65 84.7671227296814 95 65 1.87176298350096 59 48 42.8608637535945 44 20 41.6040134616196 83 2019-01-15 "Cuenta 4" "Productor 3" "Centro 2"
"16" 586 "Tawny Little" 457 209 216 170 39.987152768299 79 84 52.0160960266367 100 69 9.25235922913998 100 10 47.3235671408474 27 5 55.3589937509969 42 2019-01-16 "Cuenta 1" "Productor 2" "Centro 5"
"17" 334 "Briley Bartell" 486 193 130 196 111.356133548543 30 99 7.68329619895667 7 52 84.7524636192247 68 35 76.822829595767 35 92 9.74182179197669 24 2019-01-17 "Cuenta 1" "Productor 3" "Centro 1"
"18" 67 "Dr. Dannielle Hills DVM" 284 411 72 112 164.040894247591 49 8 31.6147456178442 9 96 96.3525997940451 35 86 49.7427315916866 68 64 2.3527106968686 78 2019-01-18 "Cuenta 2" "Productor 2" "Centro 1"
"19" 175 "Barnie Legros-Renner" 194 302 65 91 101.600769348443 79 38 66.6115106549114 36 17 22.5821465020999 68 45 19.759873021394 68 69 75.083112437278 43 2019-01-19 "Cuenta 1" "Productor 1" "Centro 3"
"20" 349 "Marland Franecki" 18 467 113 118 123.567598033696 10 13 60.7527975458652 7 99 54.6473739668727 2 77 1.31428367458284 49 40 33.9405667036772 74 2019-01-20 "Cuenta 1" "Productor 4" "Centro 5"
"21" 116 "Cannie Koepp" 267 238 188 134 184.696208965033 39 74 52.1442209836096 72 91 19.4367928896099 53 46 91.2590828491375 11 58 83.0000718589872 4 2019-01-21 "Cuenta 4" "Productor 2" "Centro 1"
"22" 377 "Ms. Lucy Thompson DDS" 336 103 207 82 26.1634916998446 1 52 41.7668072041124 52 79 66.6507674846798 49 62 50.231354101561 52 36 63.9405033318326 16 2019-01-22 "Cuenta 2" "Productor 3" "Centro 2"
"23" 390 "Kandice Block" 553 563 1 111 101.054839370772 94 66 90.8019974129274 13 34 61.4784736884758 91 83 35.0660195108503 31 97 14.1044709365815 63 2019-01-23 "Cuenta 2" "Productor 1" "Centro 1"
"24" 293 "Miss Alethea Ledner PhD" 312 30 50 79 37.86216895096 68 95 97.3732785554603 84 12 85.6580621330068 52 82 17.3518304247409 98 94 10.9878497431055 28 2019-01-24 "Cuenta 3" "Productor 1" "Centro 1"
"25" 362 "Ms. Alicia Pollich PhD" 110 80 255 131 112.893931102008 38 86 79.7231177566573 73 59 1.80845712311566 96 67 98.4095271909609 85 67 31.8251356016845 32 2019-01-25 "Cuenta 1" "Productor 4" "Centro 1"
"26" 92 "Merlyn Kshlerin" 429 431 49 190 149.447143636644 28 75 3.89815913513303 29 34 47.7162733208388 57 92 54.7012486029416 8 12 80.4956692038104 33 2019-01-26 "Cuenta 2" "Productor 5" "Centro 1"
"27" 331 "Gilford Langworth" 237 420 140 55 150.92555959709 89 42 89.5324093988165 71 49 70.3298815060407 45 58 11.9196286657825 2 18 69.1386800957844 61 2019-01-27 "Cuenta 1" "Productor 2" "Centro 4"
