"Nombre" "Tipo" "Sucursal" "Código" "Fecha"
"1" "Angel Towne" 454 "Centro 1" 285 2019-01-01
"2" "Dr. Jeremie Kohler" 29 "Centro 5" 341 2019-01-02
"3" "Harper Tromp-Miller" 594 "Centro 5" 474 2019-01-03
"4" "Dr. Jeremie Kohler" 351 "Centro 2" 187 2019-01-04
"5" "Mr. Kymani Welch" 27 "Centro 4" 76 2019-01-05
"6" "Emiliano Skiles V" 190 "Centro 5" 332 2019-01-06
"7" "Omar Lind" 84 "Centro 3" 335 2019-01-07
"8" "Angel Towne" 63 "Centro 4" 531 2019-01-08
"9" "Vicky Schuppe" 218 "Centro 1" 22 2019-01-09
"10" "Dr. Jeremie Kohler" 209 "Centro 3" 37 2019-01-10
"11" "Emiliano Skiles V" 505 "Centro 1" 182 2019-01-11
"12" "Emiliano Skiles V" 502 "Centro 1" 118 2019-01-12
"13" "Vicky Schuppe" 483 "Centro 4" 245 2019-01-13
"14" "Santana Conroy" 254 "Centro 5" 350 2019-01-14
"15" "Angel Towne" 357 "Centro 4" 127 2019-01-15
"16" "Santana Conroy" 426 "Centro 2" 83 2019-01-16
"17" "Santana Conroy" 101 "Centro 4" 239 2019-01-17
"18" "Dr. Jeremie Kohler" 307 "Centro 4" 415 2019-01-18
"19" "Vicky Schuppe" 96 "Centro 2" 73 2019-01-19
"20" "Omar Lind" 37 "Centro 1" 257 2019-01-20
"21" "Khalid Stokes II" 144 "Centro 4" 271 2019-01-21
"22" "Khalid Stokes II" 279 "Centro 2" 460 2019-01-22
"23" "Emiliano Skiles V" 391 "Centro 4" 50 2019-01-23
"24" "Harper Tromp-Miller" 459 "Centro 2" 127 2019-01-24
"25" "Vicky Schuppe" 125 "Centro 4" 538 2019-01-25
"26" "Nathanael Waelchi" 229 "Centro 2" 501 2019-01-26
"27" "Angel Towne" 266 "Centro 5" 420 2019-01-27
"28" "Harper Tromp-Miller" 535 "Centro 1" 568 2019-01-28
"29" "Emiliano Skiles V" 600 "Centro 2" 567 2019-01-29
"30" "Mr. Kymani Welch" 272 "Centro 5" 570 2019-01-30
"31" "Khalid Stokes II" 518 "Centro 4" 496 2019-01-31
"32" "Dr. Jeremie Kohler" 294 "Centro 2" 549 2019-02-01
"33" "Santana Conroy" 588 "Centro 4" 76 2019-02-02
"34" "Angel Towne" 204 "Centro 5" 124 2019-02-03
"35" "Santana Conroy" 381 "Centro 2" 42 2019-02-04
"36" "Mr. Kymani Welch" 19 "Centro 2" 510 2019-02-05
"37" "Mr. Kymani Welch" 482 "Centro 1" 197 2019-02-06
"38" "Santana Conroy" 408 "Centro 3" 394 2019-02-07
"39" "Dr. Jeremie Kohler" 96 "Centro 2" 326 2019-02-08
