"Línea Negocio" "Prima Cobrada" "Prima Devengada" "Siniestros Pagados" "Comisiones Bonos" "Siniestros Incurridos" "Cantidad Siniestros" "% Siniestralidad" "% Persistencia" "Rentabilidad" "% Cumplimiento Presupuesto Inventario" "% Cumplimiento Presupuesto Primas Cobradas" "Fecha" "centro_atencion" "asesor"
"1" "Auto" 284 252 169 358 459 391 258.677410567179 457.292795972899 14 45.3442362137139 365.848193736747 2019-01-01 "Centro 3" "Mrs. Sheri Rippin PhD"
"2" "Auto" 132 524 116 66 337 523 351.347310561687 588.220172887668 112 444.894153624773 59.9929232150316 2019-01-02 "Centro 1" "Mr. Garth Raynor"
"3" "Patrimoniales" 25 531 584 3 449 446 532.05046383664 591.399485617876 70 526.983242109418 571.886498015374 2019-01-03 "Centro 2" "Betsy Sporer PhD"
"4" "Auto" 508 584 9 558 458 189 154.092441592366 591.717600496486 380 413.699531927705 389.751801174134 2019-01-04 "Centro 3" "Aurore Shields"
"5" "Salud" 388 183 488 55 82 340 258.609770005569 151.303221378475 222 42.8782332222909 399.832978192717 2019-01-05 "Centro 2" "Luana Tillman"
"6" "Auto" 43 565 260 162 272 263 331.266291579232 425.522068887949 357 208.612849703059 189.773241709918 2019-01-06 "Centro 1" "Lovie Kertzmann"
"7" "Auto" 89 212 240 577 393 321 240.319138392806 154.534562677145 506 468.938100524247 592.792740091681 2019-01-07 "Centro 5" "Aurore Shields"
"8" "Personas" 78 244 356 135 0 495 2.36044465564191 362.796674715355 302 530.112309101969 109.305252274498 2019-01-08 "Centro 3" "Betsy Sporer PhD"
"9" "Auto" 507 9 172 553 354 364 579.563380312175 562.57146243006 194 359.978311182931 530.532303778455 2019-01-09 "Centro 2" "Luana Tillman"
"10" "Auto" 406 198 222 578 312 574 97.2992565482855 99.7645191382617 407 322.588021215051 26.3790156226605 2019-01-10 "Centro 3" "Luana Tillman"
"11" "Patrimoniales" 234 237 378 233 96 45 464.258261304349 215.361780161038 373 179.317688662559 572.228658618405 2019-01-11 "Centro 4" "Lovie Kertzmann"
"12" "Auto" 417 164 324 353 149 156 241.590164043009 318.893294222653 534 12.467115232721 456.132704392076 2019-01-12 "Centro 3" "Lovie Kertzmann"
"13" "Salud" 73 454 343 63 485 329 376.657972298563 389.766030432656 256 84.50887799263 78.9407886564732 2019-01-13 "Centro 4" "Lovie Kertzmann"
"14" "Patrimoniales" 338 136 295 501 46 457 150.724608264863 205.829299567267 359 93.4072314295918 107.783439522609 2019-01-14 "Centro 1" "Mell Terry-Schowalter"
"15" "Patrimoniales" 357 587 268 316 399 534 239.310961263254 165.706841507927 109 365.519015304744 116.859420435503 2019-01-15 "Centro 1" "Aurore Shields"
"16" "Salud" 496 256 87 393 195 460 136.127725616097 98.6221160273999 258 522.433264134452 254.474453860894 2019-01-16 "Centro 5" "Aurore Shields"
"17" "Salud" 50 233 484 116 42 389 130.967350909486 563.304469780996 156 309.74892466329 200.194116588682 2019-01-17 "Centro 3" "Aurore Shields"
