"Cliente" "Línea Negocio" "Póliza" "Prima Cobrada" "Fecha Suscipción" "Vigencia Desde" "Vigencia Hasta" "Prima Devengada" "Siniestros Pagados" "Siniestros Incurridos" "% Siniestralidad" "Fecha" "asesor"
"1" "Brea Gerlach" "Salud" 528 396 2019-01-01 2019-01-11 2019-01-21 313 241 573 287.724706577137 2019-01-01 "Mrs. Sheri Rippin PhD"
"2" "Zaniyah Mills" "Auto" 433 479 2019-01-02 2019-01-12 2019-01-22 514 398 502 179.826997267082 2019-01-02 "Mr. Garth Raynor"
"3" "Mrs. Lynne Wyman MD" "Salud" 229 159 2019-01-03 2019-01-13 2019-01-23 500 251 379 216.66383058764 2019-01-03 "Betsy Sporer PhD"
"4" "Leticia Shanahan" "Fianzas" 109 374 2019-01-04 2019-01-14 2019-01-24 156 60 222 241.661845240742 2019-01-04 "Aurore Shields"
"5" "Mr. Gifford O'Kon" "Personas" 23 490 2019-01-05 2019-01-15 2019-01-25 291 531 403 542.188359098509 2019-01-05 "Luana Tillman"
"6" "Emerson Hintz MD" "Personas" 429 447 2019-01-06 2019-01-16 2019-01-26 325 287 467 511.990880314261 2019-01-06 "Lovie Kertzmann"
"7" "Elick Will-McCullough" "Fianzas" 468 373 2019-01-07 2019-01-17 2019-01-27 31 185 113 564.614775404334 2019-01-07 "Aurore Shields"
"8" "Brooklynn Douglas" "Auto" 218 561 2019-01-08 2019-01-18 2019-01-28 88 258 248 137.949879700318 2019-01-08 "Betsy Sporer PhD"
"9" "Tyrese Wehner Sr." "Patrimoniales" 566 384 2019-01-09 2019-01-19 2019-01-29 499 562 164 340.841383114457 2019-01-09 "Luana Tillman"
"10" "Milly Hodkiewicz" "Salud" 200 292 2019-01-10 2019-01-20 2019-01-30 356 454 595 177.946226997301 2019-01-10 "Luana Tillman"
"11" "Dr. Sanjuanita O'Conner" "Fianzas" 348 43 2019-01-11 2019-01-21 2019-01-31 166 183 314 521.247806539759 2019-01-11 "Lovie Kertzmann"
"12" "Santana Howell" "Patrimoniales" 13 111 2019-01-12 2019-01-22 2019-02-01 356 65 155 262.358135310933 2019-01-12 "Lovie Kertzmann"
"13" "Billie McDermott-Kertzmann" "Salud" 296 95 2019-01-13 2019-01-23 2019-02-02 337 181 34 205.895668454468 2019-01-13 "Lovie Kertzmann"
"14" "Mrs. Shay Daugherty MD" "Patrimoniales" 26 353 2019-01-14 2019-01-24 2019-02-03 244 24 530 19.2881930619478 2019-01-14 "Mell Terry-Schowalter"
"15" "Arlie Sawayn" "Salud" 417 477 2019-01-15 2019-01-25 2019-02-04 122 137 108 192.682459764183 2019-01-15 "Aurore Shields"
"16" "Daneen Welch" "Salud" 30 399 2019-01-16 2019-01-26 2019-02-05 326 87 440 277.912102919072 2019-01-16 "Aurore Shields"
"17" "Pauletta Heller" "Patrimoniales" 599 383 2019-01-17 2019-01-27 2019-02-06 565 424 350 77.250835346058 2019-01-17 "Aurore Shields"
"18" "Esequiel Daniel" "Fianzas" 346 353 2019-01-18 2019-01-28 2019-02-07 37 415 56 384.599836729467 2019-01-18 "Mrs. Sheri Rippin PhD"
"19" "Mr. Gilmore Jerde" "Fianzas" 441 56 2019-01-19 2019-01-29 2019-02-08 439 161 48 343.136031227186 2019-01-19 "Lovie Kertzmann"
"20" "Mr. Carmel Wintheiser V" "Auto" 390 242 2019-01-20 2019-01-30 2019-02-09 486 474 335 199.038255773485 2019-01-20 "Mell Terry-Schowalter"
"21" "Mr. Love Jakubowski" "Auto" 521 417 2019-01-21 2019-01-31 2019-02-10 199 326 150 115.119554148987 2019-01-21 "Miss Annis Ferry MD"
